algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,timeout_limit,display_name
MS_Random(K=20),ext_mc_C1000-9,maximum_clique,61,211.7493415,1153,61,0,0,FALSE,"[128, 0, 764, 260, 782, 401, 787, 275, 22, 793, 669, 413, 287, 672, 673, 161, 419, 289, 37, 165, 288, 40, 36, 170, 428, 559, 178, 180, 54, 567, 824, 57, 952, 699, 835, 197, 330, 467, 598, 344, 730, 732, 606, 97, 482, 100, 869, 997, 101, 360, 617, 491, 620, 494, 495, 238, 627, 252, 246, 502, 636]",C1000-9,MS_Random_K20,1,1,212.6891938,1000,external,MS_Random,N/A,20,20,,MS_Random
"MS_CTQW(K=10,cheb_d50)",ext_mc_C1000-9,maximum_clique,60,105.3762604,580,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_CTQW_K10_cheb_d50,1,1,106.5798527,1000,external,MS_CTQW,cheb_d50,10,10,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,105.9778013,578,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K10_krylov_m30,1,1,107.1307324,1000,external,MS_CTQW,krylov_m30,10,10,,MS_CTQW_krylov_m30
ClassicalClique,ext_mc_C1000-9,maximum_clique,60,10.98792681,60,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,ClassicalClique,2,2,12.07649585,1000,external,ClassicalClique,N/A,0,,,ClassicalClique
MS_Degree(K=20),ext_mc_C1000-9,maximum_clique,60,211.3793009,1157,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K20,1,1,212.4280926,1000,external,MS_Degree,N/A,20,20,,MS_Degree
MS_Random(K=5),ext_mc_C1000-9,maximum_clique,64,52.82944183,293,64,0,0,FALSE,"[129, 775, 907, 782, 655, 916, 789, 22, 540, 672, 289, 288, 678, 170, 172, 305, 690, 182, 439, 825, 314, 699, 444, 953, 190, 62, 703, 318, 191, 579, 452, 325, 326, 966, 72, 968, 582, 575, 78, 338, 855, 345, 89, 859, 607, 225, 482, 483, 355, 997, 998, 103, 360, 491, 109, 381, 627, 756, 761, 758, 246, 505, 893, 383]",C1000-9,MS_Random_K5,2,2,53.85605104,1000,external,MS_Random,N/A,5,5,,MS_Random
MS_Degree(K=5),ext_mc_C1000-9,maximum_clique,60,52.30787863,289,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K5,2,2,53.30370096,1000,external,MS_Degree,N/A,5,5,,MS_Degree
"MS_CTQW(K=20,krylov_m30)",ext_mc_C1000-9,maximum_clique,60,210.1421114,1152,60,0,0,FALSE,"[128, 643, 261, 6, 263, 776, 777, 525, 782, 527, 143, 147, 787, 275, 917, 789, 284, 542, 31, 800, 33, 549, 681, 425, 299, 553, 812, 305, 180, 438, 567, 311, 695, 955, 65, 70, 456, 203, 204, 461, 719, 977, 724, 340, 598, 344, 218, 861, 351, 869, 102, 617, 363, 747, 238, 623, 760, 368, 246, 504]",C1000-9,MS_CTQW_K20_krylov_m30,1,1,211.157655,1000,external,MS_CTQW,krylov_m30,20,20,,MS_CTQW_krylov_m30
MS_Random(K=10),ext_mc_C1000-9,maximum_clique,62,103.2690167,575,62,0,0,FALSE,"[513, 386, 387, 644, 775, 396, 780, 782, 655, 142, 654, 145, 533, 661, 668, 670, 674, 294, 680, 296, 810, 170, 940, 936, 426, 687, 45, 305, 561, 568, 825, 699, 446, 62, 703, 710, 72, 333, 78, 336, 80, 720, 83, 600, 344, 349, 98, 867, 612, 613, 483, 356, 744, 105, 623, 496, 627, 117, 246, 505, 122, 255]",C1000-9,MS_Random_K10,2,2,104.2366343,1000,external,MS_Random,N/A,10,10,,MS_Random
MS_Degree(K=10),ext_mc_C1000-9,maximum_clique,60,106.1749569,580,60,0,0,FALSE,"[513, 1, 131, 516, 4, 262, 391, 771, 517, 655, 16, 18, 787, 788, 789, 278, 148, 283, 539, 158, 161, 292, 298, 812, 45, 47, 435, 311, 441, 62, 190, 192, 577, 578, 581, 72, 329, 458, 78, 212, 853, 217, 218, 986, 734, 990, 481, 99, 612, 998, 230, 747, 749, 880, 368, 627, 628, 885, 629, 892]",C1000-9,MS_Degree_K10,2,2,107.1782581,1000,external,MS_Degree,N/A,10,10,,MS_Degree
