algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
QuantumGreedy(krylov_m30),mc_n500_p005_k20_003,maximum_clique,20.0,1.0118590720012435,19,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,QuantumGreedy_krylov_m30,1,1,2.929192592004256,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k20_004,maximum_clique,20.0,0.012110558003769256,20,20,20,1.0,False,"[0, 255, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 382, 127]",mc_n500_p005_k20,ClassicalDegree,0,0,1.2019774580039666,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n500_p005_k20_004,maximum_clique,20.0,0.11452127400116296,20,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,ClassicalClique,0,0,1.240195673002745,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
QuantumGreedy(cheb_d50),mc_n500_p005_k20_003,maximum_clique,20.0,7.911084581995965,19,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,0,0,9.001956919004442,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
SimulatedAnnealing,mc_n500_p005_k20_004,maximum_clique,3.0,0.23820258799969452,2000,3,20,0.0,False,"[432, 376, 79]",mc_n500_p005_k20,SimulatedAnnealing,0,0,1.4103241530028754,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k20_004,maximum_clique,20.0,1.116149535002478,19,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,QuantumGreedy_krylov_m30,0,0,2.9910642899994855,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k20_004,maximum_clique,20.0,0.0062045410013524815,20,20,20,1.0,False,"[0, 255, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 382, 127]",mc_n500_p005_k20,ClassicalDegree,1,1,1.3021724109930801,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),mc_n500_p005_k20_003,maximum_clique,20.0,8.897940638002183,19,20,20,1.0,False,"[258, 395, 141, 31, 417, 292, 45, 431, 51, 439, 198, 70, 330, 341, 349, 352, 359, 499, 118, 123]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,1,1,10.447542918998806,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,mc_n500_p005_k20_004,maximum_clique,20.0,0.08445046900305897,20,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,ClassicalClique,1,1,1.2807112709997455,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n500_p005_k20_004,maximum_clique,3.0,0.17913921799481614,2000,3,20,0.0,False,"[77, 222, 87]",mc_n500_p005_k20,SimulatedAnnealing,1,1,1.60712810500263,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),mc_n500_p005_k20_004,maximum_clique,20.0,5.253391965001356,19,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,0,0,6.660436045996903,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
QuantumGreedy(krylov_m30),mc_n500_p005_k20_004,maximum_clique,20.0,0.9019652940041851,19,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,QuantumGreedy_krylov_m30,1,1,2.149372227002459,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_000,maximum_clique,30.0,0.00780347699765116,30,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,ClassicalDegree,0,0,0.9503385280040675,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n500_p005_k30_000,maximum_clique,30.0,0.06582628599426243,30,30,30,1.0,False,"[129, 131, 260, 5, 133, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 351, 223, 363]",mc_n500_p005_k30,ClassicalClique,0,0,1.0931939509973745,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n500_p005_k30_000,maximum_clique,30.0,0.15673169799993047,2000,30,30,1.0,False,"[129, 131, 260, 5, 133, 393, 73, 465, 276, 470, 88, 153, 473, 286, 351, 32, 417, 223, 293, 424, 425, 426, 363, 172, 301, 177, 311, 440, 314, 315]",mc_n500_p005_k30,SimulatedAnnealing,0,0,1.320796893996885,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k30_000,maximum_clique,30.0,1.2234354490065016,29,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,QuantumGreedy_krylov_m30,0,0,2.35335299000144,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_000,maximum_clique,30.0,0.02379668300272897,30,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,ClassicalDegree,1,1,2.7014969869997003,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),mc_n500_p005_k20_004,maximum_clique,20.0,6.646610780000628,19,20,20,1.0,False,"[0, 261, 14, 401, 27, 307, 181, 193, 457, 204, 207, 339, 353, 229, 488, 111, 243, 127, 382, 255]",mc_n500_p005_k20,QuantumGreedy_cheb_d50,1,1,7.631866290998005,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,mc_n500_p005_k30_000,maximum_clique,30.0,0.08532205699884798,30,30,30,1.0,False,"[129, 131, 260, 5, 133, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 351, 223, 363]",mc_n500_p005_k30,ClassicalClique,1,1,1.3479585309978575,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n500_p005_k30_000,maximum_clique,30.0,0.13815749599598348,2000,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 73, 465, 276, 470, 88, 153, 473, 286, 223, 32, 417, 351, 293, 424, 425, 426, 363, 172, 301, 177, 311, 440, 314, 315]",mc_n500_p005_k30,SimulatedAnnealing,1,1,1.3871226949995616,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k30_000,maximum_clique,30.0,1.306024368997896,29,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,QuantumGreedy_krylov_m30,1,1,2.688116004996118,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_001,maximum_clique,30.0,0.014598182999179699,30,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 171, 172, 299, 305, 437, 316, 62, 64, 323, 198, 74, 462, 87, 471, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,ClassicalDegree,0,0,2.758323204005137,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),mc_n500_p005_k30_000,maximum_clique,30.0,10.0005000309975,29,30,30,1.0,False,"[129, 131, 260, 133, 5, 393, 276, 153, 286, 32, 417, 293, 424, 425, 426, 172, 301, 177, 311, 440, 314, 315, 73, 465, 470, 88, 473, 223, 351, 363]",mc_n500_p005_k30,QuantumGreedy_cheb_d50,0,0,11.905069685002672,500,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,mc_n500_p005_k30_001,maximum_clique,30.0,0.17744241200125543,30,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 171, 299, 172, 305, 437, 316, 62, 64, 323, 198, 74, 462, 87, 471, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,ClassicalClique,0,0,1.5625265470007434,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,mc_n500_p005_k30_001,maximum_clique,30.0,0.1754681120000896,2000,30,30,1.0,False,"[64, 3, 323, 389, 198, 74, 396, 269, 462, 471, 280, 345, 87, 27, 414, 31, 105, 41, 299, 108, 171, 172, 305, 499, 437, 121, 251, 316, 62, 255]",mc_n500_p005_k30,SimulatedAnnealing,0,0,1.4452063150019967,500,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),mc_n500_p005_k30_001,maximum_clique,30.0,1.6040469549989211,29,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 299, 172, 171, 305, 437, 316, 62, 64, 323, 198, 74, 462, 471, 87, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,QuantumGreedy_krylov_m30,0,0,3.206627303996356,500,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,mc_n500_p005_k30_001,maximum_clique,30.0,0.007732155994744971,30,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 171, 172, 299, 305, 437, 316, 62, 64, 323, 198, 74, 462, 87, 471, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,ClassicalDegree,1,1,1.2976478370037512,500,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,mc_n500_p005_k30_001,maximum_clique,30.0,0.09458854900003644,30,30,30,1.0,False,"[3, 389, 396, 269, 280, 27, 414, 31, 41, 171, 299, 172, 305, 437, 316, 62, 64, 323, 198, 74, 462, 87, 471, 345, 105, 108, 499, 121, 251, 255]",mc_n500_p005_k30,ClassicalClique,1,1,1.2540548699980718,500,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
