algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,T0,cooling_rate,t,lam,alpha,init_method,display_name
QuantumGreedy(cheb_d50),ext_mc_C250-9,maximum_clique,33.0,36.52518207000685,32,33,0,0.0,False,"[6, 135, 8, 137, 16, 144, 149, 25, 28, 34, 36, 42, 44, 179, 58, 59, 63, 64, 66, 195, 197, 73, 83, 85, 88, 217, 222, 227, 233, 107, 114, 124, 126]",C250-9,QuantumGreedy_cheb_d50,2,2,39.40297375400405,250,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
SimulatedAnnealing,ext_mc_gen200-p0-9-44,maximum_clique,34.0,0.3611903510027332,2000,34,0,0.0,False,"[1, 131, 132, 6, 136, 138, 143, 145, 147, 20, 152, 155, 32, 160, 34, 172, 44, 48, 176, 181, 54, 56, 184, 58, 61, 198, 74, 75, 78, 85, 89, 99, 116, 124]",gen200-p0-9-44,SimulatedAnnealing,2,2,3.322232140999404,200,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(krylov_m30),ext_mc_gen200-p0-9-44,maximum_clique,33.0,2.3482150029958575,32,33,0,0.0,False,"[1, 132, 15, 16, 18, 22, 24, 25, 26, 155, 44, 172, 47, 177, 50, 51, 49, 52, 55, 57, 189, 68, 69, 74, 75, 78, 87, 105, 112, 116, 117, 124, 125]",gen200-p0-9-44,QuantumGreedy_krylov_m30,2,2,4.745925859999261,200,embedded,QuantumGreedy,krylov_m30,,,1.0,0.5,0.5,max_degree,QuantumGreedy_krylov_m30
ClassicalDegree,ext_mc_p-hat300-3,maximum_clique,30.0,0.05164177600090625,30,30,0,0.0,False,"[258, 3, 132, 267, 273, 18, 148, 20, 152, 286, 32, 164, 37, 39, 296, 298, 173, 48, 55, 189, 198, 74, 75, 204, 97, 238, 239, 246, 118, 254]",p-hat300-3,ClassicalDegree,0,0,3.1975846290006302,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
QuantumGreedy(cheb_d50),ext_mc_gen200-p0-9-44,maximum_clique,32.0,37.10652431900235,31,32,0,0.0,False,"[128, 1, 2, 129, 4, 8, 144, 151, 152, 24, 33, 166, 168, 43, 173, 174, 45, 48, 49, 178, 51, 180, 55, 192, 196, 68, 98, 100, 106, 107, 120, 126]",gen200-p0-9-44,QuantumGreedy_cheb_d50,0,0,42.176266294001834,200,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.45168268799898215,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,0,0,2.5534057339973515,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
SimulatedAnnealing,ext_mc_p-hat300-3,maximum_clique,26.0,0.32416108800680377,2000,26,0,0.0,False,"[261, 134, 262, 137, 19, 214, 27, 157, 224, 225, 102, 103, 168, 296, 42, 110, 176, 48, 179, 244, 125, 55, 187, 124, 189, 254]",p-hat300-3,SimulatedAnnealing,0,0,1.929436705999251,300,embedded,SimulatedAnnealing,N/A,1.0,0.995,,,,,SimulatedAnnealing
QuantumGreedy(cheb_d50),ext_mc_C1000-9,maximum_clique,52.0,107.5389436109981,51,52,0,0.0,False,"[512, 897, 513, 776, 137, 650, 652, 397, 528, 529, 273, 409, 26, 284, 30, 418, 547, 676, 166, 181, 309, 55, 313, 700, 60, 62, 959, 703, 962, 195, 199, 328, 459, 590, 465, 854, 218, 475, 986, 93, 612, 746, 874, 237, 627, 756, 885, 633, 762, 379, 765, 894]",C1000-9,QuantumGreedy_cheb_d50,2,2,110.82381526799873,1000,embedded,QuantumGreedy,cheb_d50,,,1.0,0.5,0.5,max_degree,QuantumGreedy_cheb_d50
ClassicalDegree,ext_mc_p-hat300-3,maximum_clique,30.0,0.13517334499920253,30,30,0,0.0,False,"[258, 3, 132, 267, 273, 18, 148, 20, 152, 286, 32, 164, 37, 39, 296, 298, 173, 48, 55, 189, 198, 74, 75, 204, 97, 238, 239, 246, 118, 254]",p-hat300-3,ClassicalDegree,1,1,2.0644832010002574,300,embedded,ClassicalDegree,N/A,,,,,,,ClassicalDegree
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.6737395860036486,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,1,1,3.478608195000561,300,embedded,ClassicalClique,N/A,,,,,,,ClassicalClique
