algorithm,sample_id,task_type,objective,runtime,iterations,solution_size,answer_size,recall,timed_out,solution,source_label,algo_key,run_id,seed,wall_time,n,mode,family,method_tag,K,n_seeds_tried,ctqw_seed_reused,beta,display_name
"MS_CTQW(K=5,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,37.0,0.5150695999982418,174,37,0,0.0,False,"[128, 1, 132, 133, 6, 135, 4, 144, 16, 19, 22, 26, 155, 156, 154, 161, 34, 39, 44, 174, 175, 48, 49, 177, 55, 58, 64, 68, 198, 76, 85, 98, 107, 118, 121, 125, 126]",gen200-p0-9-44,MS_CTQW_K5_cheb_d50,0,0,3.6062873999981093,200,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.975711399998545,349,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_CTQW_K10_cheb_d50,0,0,4.088531499997771,200,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,2.0067200000012235,704,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_CTQW_K20_cheb_d50,0,0,5.229043299998011,200,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
"MS_HybridSeed(K=5,beta=0.25,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.507224100001622,175,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K5_b0p25_cheb_d50,0,0,3.642480800001067,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=5,beta=0.5,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.5017517999986012,175,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K5_b0p5_cheb_d50,0,0,3.7162380000008852,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=5,beta=0.75,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,37.0,0.5005004000013287,174,37,0,0.0,False,"[128, 1, 132, 133, 6, 135, 4, 144, 16, 19, 22, 26, 155, 156, 154, 161, 34, 39, 44, 174, 175, 48, 49, 177, 55, 58, 64, 68, 198, 76, 85, 98, 107, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K5_b0p75_cheb_d50,0,0,3.6250049999980547,200,external,MS_HybridSeed,cheb_d50,5,5.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=10,beta=0.25,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,0.994229500000074,354,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K10_b0p25_cheb_d50,0,0,4.081909999997151,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=10,beta=0.5,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.0195486999982677,354,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K10_b0p5_cheb_d50,0,0,4.119750399997429,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=10,beta=0.75,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.0079236999990826,354,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K10_b0p75_cheb_d50,0,0,4.139275999998063,200,external,MS_HybridSeed,cheb_d50,10,10.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
"MS_HybridSeed(K=20,beta=0.25,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.9850837000012689,704,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K20_b0p25_cheb_d50,0,0,5.089365799998632,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.25,MS_HybridSeed_b0.25_cheb_d50
"MS_HybridSeed(K=20,beta=0.5,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,2.0229858000020613,703,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K20_b0p5_cheb_d50,0,0,5.135404600001493,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.5,MS_HybridSeed_b0.5_cheb_d50
"MS_HybridSeed(K=20,beta=0.75,cheb_d50)",ext_mc_gen200-p0-9-44,maximum_clique,38.0,1.9372517999981937,701,38,0,0.0,False,"[1, 132, 5, 6, 135, 139, 13, 144, 145, 16, 22, 26, 154, 155, 161, 173, 46, 174, 48, 49, 175, 184, 58, 64, 198, 71, 76, 85, 89, 90, 94, 105, 107, 115, 118, 121, 125, 126]",gen200-p0-9-44,MS_HybridSeed_K20_b0p75_cheb_d50,0,0,5.081592400001682,200,external,MS_HybridSeed,cheb_d50,20,20.0,True,0.75,MS_HybridSeed_b0.75_cheb_d50
ClassicalClique,ext_mc_p-hat300-3,maximum_clique,32.0,0.19619719999900553,32,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,ClassicalClique,0,0,3.285479199999827,300,external,ClassicalClique,N/A,0,,,,ClassicalClique
MS_Random(K=5),ext_mc_p-hat300-3,maximum_clique,32.0,0.8330825999983063,152,32,0,0.0,False,"[130, 3, 132, 262, 267, 272, 17, 148, 20, 152, 27, 158, 32, 289, 39, 296, 297, 298, 48, 55, 189, 74, 75, 204, 225, 97, 234, 238, 239, 118, 246, 254]",p-hat300-3,MS_Random_K5,0,0,3.937731599999097,300,external,MS_Random,N/A,5,5.0,,,MS_Random
MS_Degree(K=5),ext_mc_p-hat300-3,maximum_clique,33.0,0.8725776999999653,157,33,0,0.0,False,"[258, 138, 271, 272, 273, 20, 148, 152, 25, 280, 27, 158, 32, 37, 165, 39, 295, 298, 171, 173, 47, 48, 178, 55, 189, 74, 75, 204, 97, 109, 238, 251, 254]",p-hat300-3,MS_Degree_K5,0,0,3.927256999999372,300,external,MS_Degree,N/A,5,5.0,,,MS_Degree
MS_Random(K=10),ext_mc_p-hat300-3,maximum_clique,32.0,1.4430685000006633,290,32,0,0.0,False,"[258, 6, 138, 273, 20, 148, 279, 25, 27, 158, 162, 37, 165, 295, 39, 171, 47, 48, 178, 196, 74, 75, 204, 207, 218, 97, 106, 243, 119, 249, 251, 254]",p-hat300-3,MS_Random_K10,0,0,4.6051112999994075,300,external,MS_Random,N/A,10,10.0,,,MS_Random
MS_Degree(K=10),ext_mc_p-hat300-3,maximum_clique,34.0,1.7204074000001128,315,34,0,0.0,False,"[259, 132, 134, 267, 18, 148, 23, 286, 289, 164, 37, 39, 296, 297, 298, 173, 48, 55, 184, 189, 198, 74, 75, 204, 78, 86, 218, 225, 97, 109, 238, 239, 246, 254]",p-hat300-3,MS_Degree_K10,0,0,4.854044799998519,300,external,MS_Degree,N/A,10,10.0,,,MS_Degree
MS_Random(K=20),ext_mc_p-hat300-3,maximum_clique,34.0,3.1232429000010598,600,34,0,0.0,False,"[259, 261, 134, 267, 144, 18, 148, 21, 23, 286, 289, 164, 37, 39, 296, 297, 173, 48, 55, 58, 189, 196, 198, 74, 75, 78, 86, 88, 220, 97, 225, 236, 246, 254]",p-hat300-3,MS_Random_K20,0,0,6.215902700001607,300,external,MS_Random,N/A,20,20.0,,,MS_Random
MS_Degree(K=20),ext_mc_p-hat300-3,maximum_clique,34.0,3.396911199997703,626,34,0,0.0,False,"[259, 132, 134, 267, 18, 148, 23, 286, 289, 164, 37, 39, 296, 297, 298, 173, 48, 55, 184, 189, 198, 74, 75, 204, 78, 86, 218, 225, 97, 109, 238, 239, 246, 254]",p-hat300-3,MS_Degree_K20,0,0,6.517154999997729,300,external,MS_Degree,N/A,20,20.0,,,MS_Degree
"MS_CTQW(K=5,cheb_d50)",ext_mc_p-hat300-3,maximum_clique,33.0,0.8430207000019436,156,33,0,0.0,False,"[3, 259, 267, 268, 272, 148, 152, 25, 155, 158, 289, 164, 37, 39, 296, 297, 298, 48, 55, 184, 189, 198, 74, 75, 204, 78, 97, 225, 230, 109, 238, 239, 254]",p-hat300-3,MS_CTQW_K5_cheb_d50,0,0,3.9132572999988042,300,external,MS_CTQW,cheb_d50,5,5.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=10,cheb_d50)",ext_mc_p-hat300-3,maximum_clique,33.0,1.6344917999995232,313,33,0,0.0,False,"[3, 259, 267, 268, 272, 148, 152, 25, 155, 158, 289, 164, 37, 39, 296, 297, 298, 48, 55, 184, 189, 198, 74, 75, 204, 78, 97, 225, 230, 109, 238, 239, 254]",p-hat300-3,MS_CTQW_K10_cheb_d50,0,0,4.686597200001415,300,external,MS_CTQW,cheb_d50,10,10.0,True,,MS_CTQW_cheb_d50
"MS_CTQW(K=20,cheb_d50)",ext_mc_p-hat300-3,maximum_clique,34.0,3.32584759999736,629,34,0,0.0,False,"[258, 3, 260, 137, 267, 18, 19, 20, 148, 286, 289, 164, 37, 292, 36, 42, 298, 47, 48, 176, 55, 189, 198, 75, 204, 78, 88, 90, 238, 245, 118, 246, 250, 254]",p-hat300-3,MS_CTQW_K20_cheb_d50,0,0,6.396933899999567,300,external,MS_CTQW,cheb_d50,20,20.0,True,,MS_CTQW_cheb_d50
